id,files_name,start_time,end_time,network,stations_code,channels,classID,class
6,6_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBSI,BHE,0,certified
6,6_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBSI,BHZ,0,certified
7,7_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SDSI,BHN,0,certified
7,7_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SDSI,BHE,0,certified
7,7_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SDSI,BHZ,0,certified
8,8_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SISI,BHN,0,certified
8,8_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SISI,BHE,0,certified
8,8_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SISI,BHZ,0,certified
9,9_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TDNI,BHN,0,certified
9,9_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TDNI,BHE,0,certified
9,9_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TDNI,BHZ,0,certified
10,10_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TPRI,BHN,0,certified
10,10_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TPRI,BHE,0,certified
10,10_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TPRI,BHZ,0,certified
11,11_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TPTI,BHN,0,certified
11,11_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TPTI,BHE,0,certified
11,11_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TPTI,BHZ,0,certified
12,12_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TRIYO,BHN,0,certified
12,12_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TRIYO,BHE,0,certified
12,12_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TRIYO,BHZ,0,certified
13,13_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TRSI,BHN,0,certified
13,13_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TRSI,BHE,0,certified
13,13_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TRSI,BHZ,0,certified
14,14_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TSI,BHN,0,certified
14,14_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TSI,BHE,0,certified
14,14_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TSI,BHZ,0,certified
15,15_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BLSI,BHN,0,certified
15,15_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BLSI,BHE,0,certified
15,15_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BLSI,BHZ,0,certified
16,16_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BMSI,BHN,0,certified
16,16_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BMSI,BHE,0,certified
16,16_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BMSI,BHZ,0,certified
17,17_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BOJI,BHN,0,certified
17,17_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BOJI,BHE,0,certified
17,17_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BOJI,BHZ,0,certified
18,18_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BTJI,BHN,0,certified
18,18_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BTJI,BHE,0,certified
18,18_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BTJI,BHZ,0,certified
19,19_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CBJI,BHN,0,certified
19,19_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CBJI,BHE,0,certified
19,19_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CBJI,BHZ,0,certified
20,20_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CIJI,BHN,0,certified
20,20_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CIJI,BHE,0,certified
20,20_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CIJI,BHZ,0,certified
21,21_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CMJI,BHN,0,certified
21,21_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CMJI,BHE,0,certified
21,21_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CMJI,BHZ,0,certified
22,22_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CSJI,BHN,0,certified
22,22_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CSJI,BHE,0,certified
22,22_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,CSJI,BHZ,0,certified
23,23_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DBJI,BHN,0,certified
23,23_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DBJI,BHE,0,certified
23,23_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DBJI,BHZ,0,certified
24,24_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DWIKO,BHN,0,certified
24,24_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DWIKO,BHE,0,certified
24,24_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DWIKO,BHZ,0,certified
25,25_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GBJI,BHN,0,certified
25,25_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GBJI,BHE,0,certified
25,25_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GBJI,BHZ,0,certified
26,26_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JPJI,BHN,0,certified
26,26_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JPJI,BHE,0,certified
26,26_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JPJI,BHZ,0,certified
27,27_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KASI,BHN,0,certified
27,27_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KASI,BHE,0,certified
27,27_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KASI,BHZ,0,certified
28,28_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KPJI,BHN,0,certified
28,28_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KPJI,BHE,0,certified
28,28_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KPJI,BHZ,0,certified
29,29_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KWJI,BHN,0,certified
29,29_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KWJI,BHE,0,certified
29,29_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KWJI,BHZ,0,certified
30,30_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LHSI,BHN,0,certified
30,30_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LHSI,BHE,0,certified
30,30_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LHSI,BHZ,0,certified
31,31_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LLSI,BHN,0,certified
31,31_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LLSI,BHE,0,certified
31,31_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LLSI,BHZ,0,certified
32,32_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LWLI,BHN,0,certified
32,32_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LWLI,BHE,0,certified
32,32_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LWLI,BHZ,0,certified
33,33_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MASI,BHN,0,certified
33,33_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MASI,BHE,0,certified
33,33_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MASI,BHZ,0,certified
34,34_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MDSI,BHN,0,certified
34,34_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MDSI,BHE,0,certified
34,34_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MDSI,BHZ,0,certified
35,35_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MNAI,BHN,0,certified
35,35_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MNAI,BHE,0,certified
35,35_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MNAI,BHZ,0,certified
36,36_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PKJI,BHN,0,certified
36,36_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PKJI,BHE,0,certified
36,36_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PKJI,BHZ,0,certified
37,37_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PRJI,BHN,0,certified
37,37_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PRJI,BHE,0,certified
37,37_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PRJI,BHZ,0,certified
38,38_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PSLI,BHN,0,certified
38,38_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PSLI,BHE,0,certified
38,38_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PSLI,BHZ,0,certified
39,39_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBJI,BHN,0,certified
39,39_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBJI,BHE,0,certified
39,39_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBJI,BHZ,0,certified
40,40_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SCJI,BHN,0,certified
40,40_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SCJI,BHE,0,certified
40,40_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SCJI,BHZ,0,certified
41,41_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SKJI,BHN,0,certified
41,41_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SKJI,BHE,0,certified
41,41_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SKJI,BHZ,0,certified
42,42_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SMRI,BHN,0,certified
42,42_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SMRI,BHE,0,certified
42,42_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SMRI,BHZ,0,certified
43,43_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SPSJM,BHN,0,certified
43,43_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SPSJM,BHE,0,certified
43,43_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SPSJM,BHZ,0,certified
44,44_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,STKI,BHN,0,certified
44,44_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,STKI,BHE,0,certified
44,44_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,STKI,BHZ,0,certified
45,45_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TNG,BHN,0,certified
45,45_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TNG,BHE,0,certified
45,45_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TNG,BHZ,0,certified
46,46_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UBSI,BHN,0,certified
46,46_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UBSI,BHE,0,certified
46,46_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UBSI,BHZ,0,certified
47,47_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UGM,BHN,0,certified
47,47_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UGM,BHE,0,certified
47,47_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UGM,BHZ,0,certified
48,48_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UTSI,BHN,0,certified
48,48_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UTSI,BHE,0,certified
48,48_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,UTSI,BHZ,0,certified
49,49_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,YOGI,BHN,0,certified
49,49_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,YOGI,BHE,0,certified
49,49_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,YOGI,BHZ,0,certified
50,50_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,AAFM,BHN,0,certified
50,50_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,AAFM,BHE,0,certified
50,50_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,AAFM,BHZ,0,certified
51,51_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,ABJI,BHN,0,certified
51,51_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,ABJI,BHE,0,certified
51,51_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,ABJI,BHZ,0,certified
52,52_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,ATNI,BHN,0,certified
52,52_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,ATNI,BHE,0,certified
52,52_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,ATNI,BHZ,0,certified
53,53_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BATI,BHN,0,certified
53,53_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BATI,BHE,0,certified
53,53_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BATI,BHZ,0,certified
54,54_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BBKI,BHN,0,certified
54,54_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BBKI,BHE,0,certified
54,54_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BBKI,BHZ,0,certified
55,55_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BKB,BHN,0,certified
55,55_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BKB,BHE,0,certified
55,55_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BKB,BHZ,0,certified
56,56_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BLJI,BHN,0,certified
56,56_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BLJI,BHE,0,certified
56,56_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,BLJI,BHZ,0,certified
57,57_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DBNFM,BHN,0,certified
57,57_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DBNFM,BHE,0,certified
57,57_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,DBNFM,BHZ,0,certified
58,58_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,EDFI,BHN,0,certified
58,58_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,EDFI,BHE,0,certified
58,58_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,EDFI,BHZ,0,certified
59,59_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GRJI,BHN,0,certified
59,59_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GRJI,BHE,0,certified
59,59_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GRJI,BHZ,0,certified
60,60_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JAGI,BHN,0,certified
60,60_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JAGI,BHE,0,certified
60,60_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JAGI,BHZ,0,certified
61,61_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JSBFM,BHN,0,certified
61,61_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JSBFM,BHE,0,certified
61,61_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,JSBFM,BHZ,0,certified
62,62_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LBNFM,BHN,0,certified
62,62_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LBNFM,BHE,0,certified
62,62_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LBNFM,BHZ,0,certified
63,63_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LUJI,BHN,0,certified
63,63_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LUJI,BHE,0,certified
63,63_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LUJI,BHZ,0,certified
64,64_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MLJI,BHN,0,certified
64,64_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MLJI,BHE,0,certified
64,64_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MLJI,BHZ,0,certified
65,65_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MMRI,BHN,0,certified
65,65_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MMRI,BHE,0,certified
65,65_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,MMRI,BHZ,0,certified
66,66_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,NJBM,BHN,0,certified
66,66_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,NJBM,BHE,0,certified
66,66_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,NJBM,BHZ,0,certified
67,67_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PCJI,BHN,0,certified
67,67_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PCJI,BHE,0,certified
67,67_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PCJI,BHZ,0,certified
68,68_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PKKI,BHN,0,certified
68,68_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PKKI,BHE,0,certified
68,68_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PKKI,BHZ,0,certified
69,69_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PLAI,BHN,0,certified
69,69_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PLAI,BHE,0,certified
69,69_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PLAI,BHZ,0,certified
70,70_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PWJI,BHN,0,certified
70,70_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PWJI,BHE,0,certified
70,70_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PWJI,BHZ,0,certified
71,71_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RNFM,BHN,0,certified
71,71_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RNFM,BHE,0,certified
71,71_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RNFM,BHZ,0,certified
72,72_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RTBI,BHN,0,certified
72,72_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RTBI,BHE,0,certified
72,72_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RTBI,BHZ,0,certified
73,73_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBBM,BHN,0,certified
73,73_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBBM,BHE,0,certified
73,73_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBBM,BHZ,0,certified
74,74_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SLBFM,BHN,0,certified
74,74_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SLBFM,BHE,0,certified
74,74_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SLBFM,BHZ,0,certified
75,75_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SRBI,BHN,0,certified
75,75_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SRBI,BHE,0,certified
75,75_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SRBI,BHZ,0,certified
76,76_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TBJI,BHN,0,certified
76,76_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TBJI,BHE,0,certified
76,76_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TBJI,BHZ,0,certified
77,77_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TUJI,BHN,0,certified
77,77_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,TUJI,BHE,0,certified
